,0,1,2,3,4,5,6,7,8,9,
1,0,0,0,0,0,0,1,11,76,12,1
1,0,0,0,0,0,0,2,10,76,12,1
1,0,0,0,0,1,0,2,9,76,12,1
1,0,0,1,0,1,0,2,8,76,12,1
1,0,1,1,0,1,0,2,7,76,12,1
1,0,1,2,0,1,0,2,6,76,12,1
1,0,1,3,0,1,0,2,5,76,12,1
1,0,1,3,0,2,0,2,4,76,12,1
1,0,1,3,0,2,1,2,3,76,12,1
1,0,1,3,0,2,1,2,2,77,12,1
1,0,1,3,0,2,1,2,2,76,13,1
1,0,1,3,0,2,1,2,3,75,13,1
1,0,1,3,0,2,1,2,4,74,13,1
1,0,1,3,0,2,1,2,5,73,13,1
1,0,1,3,0,2,1,2,6,72,13,1
1,0,1,3,0,2,1,3,6,71,13,1
1,0,1,3,0,2,1,3,7,70,13,1
1,0,1,3,0,2,1,3,8,69,13,1
1,0,1,3,0,2,1,3,8,68,14,1
1,0,1,3,0,2,1,3,8,67,15,1
1,0,1,3,0,2,1,3,9,66,15,1
1,0,1,3,0,2,1,3,10,65,15,1
1,0,1,3,0,2,1,3,10,64,16,1
1,0,1,3,0,2,1,3,10,63,17,1
1,0,1,3,0,2,1,4,10,62,17,1
1,0,1,3,0,2,2,4,10,61,17,1
1,0,1,3,0,2,2,5,10,60,17,1
1,0,1,3,0,2,2,6,10,59,17,1
1,0,1,3,0,2,2,6,10,58,18,1
1,0,1,3,0,2,2,6,11,57,18,1
1,0,1,3,0,2,2,6,12,56,18,1
1,0,1,3,0,2,2,7,12,55,18,1
1,0,1,3,0,2,2,7,13,54,18,1
1,0,1,3,0,2,3,7,13,53,18,1
1,0,1,3,0,2,3,8,13,52,18,1
1,0,1,3,0,2,3,9,13,51,18,1
1,0,1,3,0,2,3,9,14,50,18,1
1,0,1,3,0,2,3,9,15,49,18,1
1,0,1,3,0,2,3,9,16,48,18,1
1,0,1,3,0,2,4,9,16,47,18,1
1,0,1,3,1,2,4,9,16,46,18,1
1,0,1,4,1,2,4,9,16,45,18,1
1,0,1,4,1,3,4,9,16,44,18,1
1,0,1,4,1,4,4,9,16,43,18,1
1,0,1,4,1,4,5,9,16,42,18,1
1,0,1,4,1,4,5,10,16,41,18,1
1,0,1,4,1,4,6,10,16,40,18,1
1,0,1,4,1,4,6,10,17,39,18,1
1,0,1,4,1,4,6,10,18,38,18,1
1,0,1,4,1,4,6,10,19,37,18,1
1,0,1,4,1,4,7,10,19,36,18,1
1,0,1,4,1,4,8,10,19,35,18,1
1,0,1,4,1,4,8,11,19,34,18,1
1,0,1,4,1,4,8,12,19,33,18,1
1,0,1,4,1,4,8,12,20,32,18,1
1,0,1,4,1,4,8,13,20,31,18,1
1,0,1,4,1,4,9,13,20,30,18,1
1,0,1,4,1,5,9,13,20,29,18,1
1,0,1,4,1,5,10,13,20,28,18,1
1,0,1,4,1,6,10,13,20,27,18,1
1,0,1,4,1,7,10,13,20,26,18,1
1,0,1,4,1,8,10,13,20,25,18,1
1,0,1,4,1,8,10,14,20,24,18,1
1,0,1,4,1,8,10,14,21,23,18,1
1,0,1,4,1,8,10,15,21,22,18,1
1,0,0,0,0,0,0,26,61,13,0,0
1,0,0,0,0,0,0,25,61,14,0,0
1,0,0,0,0,0,0,24,61,15,0,0
1,0,0,0,0,0,0,23,61,16,0,0
1,0,0,0,0,0,0,22,61,17,0,0
1,0,0,0,0,0,0,21,61,18,0,0
1,0,0,0,0,0,0,20,61,19,0,0
1,0,0,0,0,0,0,19,61,20,0,0
1,0,0,0,0,0,0,18,61,21,0,0
1,0,0,0,0,0,0,17,61,22,0,0
1,0,0,0,0,0,0,16,61,23,0,0
1,0,0,0,0,0,0,15,61,24,0,0
1,0,0,0,0,0,0,14,61,25,0,0
1,0,0,0,0,0,0,13,61,26,0,0
1,0,0,0,0,0,0,12,61,27,0,0
1,0,0,0,0,0,0,11,61,28,0,0
1,0,0,0,0,0,0,10,61,29,0,0
1,0,0,0,0,0,0,9,61,30,0,0
1,0,0,0,0,0,0,8,61,31,0,0
1,0,0,0,0,0,0,7,61,32,0,0
1,0,0,0,0,0,0,6,61,33,0,0
1,0,0,0,0,0,0,5,61,34,0,0
1,0,0,0,0,0,0,4,61,35,0,0
1,0,0,0,0,0,0,3,61,36,0,0
1,0,0,0,0,0,0,2,61,37,0,0
1,0,0,0,0,0,0,1,61,38,0,0
1,0,0,0,0,0,0,0,61,39,0,0
1,0,0,0,0,0,0,0,60,40,0,0
1,0,0,0,0,0,0,0,59,41,0,0
1,0,0,0,0,0,0,0,58,42,0,0
1,0,0,0,0,0,0,0,57,43,0,0
1,0,0,0,0,0,0,0,56,44,0,0
1,0,0,0,0,0,0,0,55,45,0,0
1,0,0,0,0,0,0,0,54,46,0,0
1,0,0,0,0,0,0,0,53,47,0,0
1,0,0,0,0,0,0,0,52,48,0,0
1,0,0,0,0,0,0,0,51,49,0,0
1,0,0,0,0,0,0,0,50,50,0,0
1,0,0,0,0,0,0,0,49,51,0,1
1,0,0,0,0,0,0,0,48,52,0,1
1,0,0,0,0,0,0,0,47,53,0,1
1,0,0,0,0,0,0,0,46,54,0,1
1,0,0,0,0,0,0,0,45,55,0,1
1,0,0,0,0,0,0,0,44,56,0,1
1,0,0,0,0,0,0,0,43,57,0,1
1,0,0,0,0,0,0,0,42,58,0,1
1,0,0,0,0,0,0,0,41,59,0,1
1,0,0,0,0,0,0,0,40,60,0,1
1,0,0,0,0,0,1,0,39,60,0,1
1,0,0,0,0,0,2,0,38,60,0,1
1,0,0,0,0,0,3,0,37,60,0,1
1,0,0,0,0,0,4,0,36,60,0,1
1,0,0,0,0,0,5,0,35,60,0,1
1,0,0,0,0,0,6,0,34,60,0,1
1,0,0,0,0,0,7,0,33,60,0,1
1,0,0,0,0,0,8,0,32,60,0,1
1,0,0,0,0,0,9,0,31,60,0,1
1,0,0,0,0,0,10,0,30,60,0,1
1,0,0,0,0,0,11,0,29,60,0,1
1,0,0,0,0,0,12,0,28,60,0,1
1,0,0,0,0,0,13,0,27,60,0,1
1,0,0,0,0,0,14,0,26,60,0,1
1,0,0,0,0,0,15,0,25,60,0,1
1,0,0,0,0,0,16,0,24,60,0,1
1,0,0,0,0,0,17,0,23,60,0,1
1,0,0,0,0,0,18,0,22,60,0,1
1,0,0,0,0,0,19,0,21,60,0,1
1,0,0,0,0,0,20,0,20,60,0,1
1,0,0,0,0,0,31,0,10,59,0,1
1,0,0,0,0,0,30,0,11,59,0,1
