,0,1,2,3,4,5,6,7,8,9,label
1,10,10,8,7,7,12,11,8,16,11,2
1,10,10,8,6,7,12,11,8,17,11,2
1,10,10,8,6,6,12,11,8,17,12,2
1,10,10,8,6,6,13,11,7,17,12,2
1,10,10,8,6,6,12,12,7,17,12,2
1,10,10,7,6,6,13,12,7,17,12,2
1,10,11,7,5,6,13,12,7,17,12,2
1,10,11,7,5,5,13,12,8,17,12,2
1,10,11,7,5,5,14,12,8,16,12,2
1,10,11,7,5,5,13,12,8,16,13,2
1,10,11,7,6,5,13,12,8,15,13,2
1,10,10,7,6,6,13,12,8,15,13,2
1,10,10,7,6,6,13,11,9,15,13,2
9,10,9,7,6,7,13,11,9,15,13,2
9,11,9,7,6,7,13,11,8,15,13,2
9,10,9,7,7,7,13,11,8,15,13,2
9,10,9,7,7,8,13,11,8,14,13,2
9,10,9,6,7,9,13,11,8,14,13,2
9,10,9,6,7,9,13,12,8,14,12,2
9,10,9,7,7,9,13,11,8,14,12,2
9,10,9,8,6,9,13,11,8,14,12,2
9,11,9,8,6,9,13,11,8,13,12,2
9,11,9,8,6,8,13,11,8,13,13,2
9,11,9,8,6,9,13,10,8,13,13,2
8,11,8,9,6,9,13,10,8,13,13,2
8,10,8,9,6,10,13,10,8,13,13,2
8,10,8,9,6,10,13,10,7,14,13,2
8,10,8,9,6,10,14,10,7,13,13,2
8,10,8,9,5,11,14,10,7,13,13,2
8,10,8,10,5,11,14,10,6,13,13,2
8,10,8,10,5,12,14,10,6,13,12,2
8,10,8,10,5,12,14,9,6,13,13,2
8,10,8,10,6,12,14,9,5,13,13,2
8,10,8,10,6,12,13,10,5,13,13,2
8,10,8,11,6,12,12,10,5,13,13,2
8,10,8,12,6,12,12,10,4,13,13,2
7,10,7,12,6,13,12,10,4,13,13,2
7,10,7,12,6,14,12,9,4,13,13,2
7,11,7,12,6,14,11,9,4,13,13,2
7,10,7,12,6,14,11,10,4,13,13,2
7,10,7,11,6,14,12,10,4,13,13,2
7,9,7,11,6,14,12,11,4,13,13,2
7,9,7,11,6,14,12,12,4,13,12,2
7,9,7,11,6,14,12,13,3,13,12,2
7,9,7,11,7,14,11,13,3,13,12,2
7,9,7,11,7,15,10,13,3,13,12,2
7,9,7,10,7,15,11,13,3,13,12,2
7,9,7,10,6,15,11,13,3,13,13,2
7,9,7,10,6,15,10,13,4,13,13,2
8,9,8,10,6,15,10,13,4,13,12,2
8,8,8,10,6,15,10,14,4,13,12,2
8,8,8,9,6,15,11,14,4,13,12,2
8,8,8,10,6,15,11,14,4,13,11,2
8,8,8,11,6,15,11,14,4,13,10,2
8,8,8,11,6,15,12,13,4,13,10,2
8,8,8,12,6,15,12,12,4,13,10,2
9,8,9,12,6,15,12,12,4,13,9,2
1,8,10,12,6,15,12,12,4,13,8,2
1,8,10,12,6,14,12,13,4,13,8,2
1,8,10,12,6,13,12,13,4,14,8,2
1,8,10,12,6,13,12,13,5,13,8,2
1,8,10,13,6,13,12,13,5,13,7,2
1,8,10,13,6,13,12,13,4,13,8,2
1,8,10,13,6,13,12,12,4,14,8,2
1,8,10,13,7,13,11,12,4,14,8,2
1,8,10,13,7,13,11,12,5,13,8,2
1,7,10,13,7,13,11,12,6,13,8,2
9,7,9,13,7,13,11,12,7,13,8,2
9,8,9,13,7,13,11,12,7,12,8,2
9,8,9,13,8,13,11,12,7,11,8,2
9,8,9,13,8,13,10,12,8,11,8,2
9,8,9,12,8,13,10,12,8,12,8,2
9,9,9,11,8,13,10,12,8,12,8,2
8,10,8,11,8,13,10,12,8,12,8,2
